1011
498 354
C 176 508
T 987 946
T 448 759
C 377 117
A 344 858
A 211 536
A 243 641
C 614 899
T 316 770
C 652 490
C 188 448
C 870 724
C 90 112
A 466 551
C 585 635
T 162 762
A 294 513
A 194 817
C 198 985
A 589 960
A 888 901
A 168 653
C 117 369
C 90 691
T 996 215
C 672 751
T 479 107
T 449 675
C 288 600
T 804 74
T 784 7
T 873 705
A 470 375
A 1008 879
C 687 662
C 481 392
A 27 429
C 43 562
T 746 259
T 721 509
T 787 500
A 674 988
A 878 574
A 981 849
C 281 414
T 929 419
C 981 440
A 911 881
T 202 627
C 249 373
T 461 172
A 99 900
C 790 858
T 611 358
T 595 618
C 462 892
T 629 568
C 552 793
T 921 87
A 735 564
C 846 733
C 276 318
A 696 873
A 512 429
C 765 800
A 321 486
A 159 399
T 245 649
C 188 919
C 195 711
A 335 527
A 22 807
T 696 783
A 717 956
C 1006 560
T 955 227
T 172 951
A 176 54
C 552 783
T 319 438
C 633 275
T 898 176
A 183 98
T 10 978
T 50 677
C 222 84
C 741 608
C 922 3
C 146 510
C 649 209
C 331 621
C 695 168
C 777 400
T 699 240
A 137 517
T 315 325
C 209 494
T 829 17
C 546 45
C 450 496
T 510 750
A 808 442
T 943 382
C 812 813
C 328 756
C 521 485
T 177 283
C 883 494
C 725 141
A 197 64
A 950 525
A 653 590
A 679 401
A 243 390
C 350 558
C 67 588
A 669 794
T 972 540
A 652 155
C 15 198
C 149 73
A 992 164
T 165 79
C 451 515
A 892 123
A 63 145
T 187 777
A 523 853
T 433 372
T 954 220
T 525 768
A 240 950
A 567 900
C 429 330
C 836 395
T 975 837
T 965 185
T 743 828
A 333 35
T 286 847
A 454 999
T 868 534
C 886 163
C 58 449
C 330 924
T 718 671
C 260 777
T 56 880
T 118 513
C 111 34
T 131 982
T 943 994
A 710 375
C 448 548
T 794 608
A 638 888
A 822 988
T 922 683
C 693 805
T 762 509
A 124 861
C 772 464
T 368 406
C 965 888
T 978 641
A 908 229
T 837 429
A 947 299
C 555 558
C 603 162
A 373 81
T 1005 919
A 136 556
T 683 831
T 148 308
T 492 555
C 999 19
T 540 756
T 702 276
T 917 462
C 564 1004
C 891 903
T 735 922
C 82 33
A 9 200
T 800 192
C 778 825
T 303 687
T 881 906
A 490 493
A 462 602
C 347 266
A 440 419
T 262 246
A 666 120
C 78 743
A 843 107
A 54 663
C 716 131
C 46 102
A 718 607
A 625 706
A 813 179
T 601 877
T 596 2
T 801 403
A 681 245
A 870 330
A 404 771
T 695 650
T 382 113
T 721 581
T 761 561
T 677 540
T 965 634
A 191 759
C 421 799
A 45 203
C 646 254
C 173 894
A 207 804
T 40 535
C 608 607
T 932 221
A 49 820
A 419 601
A 804 213
C 620 951
C 217 923
T 35 229
C 878 588
A 1 128
A 835 391
C 264 299
C 194 573
T 693 357
C 246 756
T 854 376
